Quality, Precision, Recall, F1 score
Advance, 0.818, 0.751, 0.727
ArmsToUpperBody, 0.58, 0.699, 0.619
Bind, 0.501, 0.688, 0.57
Condense+Enclose, 0.477, 0.687, 0.557
Direct, 0.286, 0.35, 0.296
Free+Light, 0.502, 0.709, 0.571
Head-drop, 0.454, 0.624, 0.512
Jump, 0.802, 0.609, 0.681
Passive, 0.39, 0.644, 0.464
Retreat, 0.597, 0.803, 0.676
Rhythmicity, 0.559, 0.736, 0.626
Rotation, 0.638, 0.666, 0.64
Sink, 0.467, 0.572, 0.499
Spread, 0.763, 0.866, 0.805
Strong, 0.457, 0.478, 0.437
Sudden, 0.543, 0.68, 0.564
Twist+Back, 0.665, 0.768, 0.705
Up+Rise, 0.739, 0.589, 0.648
