Quality, Precision, Recall, F1 score, Train F1 Score, Active Features amount 
Advance, 0.5, 0.786, 0.611, 0.746, 12
ArmsToUpperBody, 0.25, 0.846, 0.386, 0.846, 19
Bind, 0.412, 0.467, 0.437, 0.795, 24
Condense+Enclose, 0.2, 0.167, 0.182, 0.783, 19
Direct, 0.297, 0.846, 0.44, 0.575, 15
Free+Light, 0.467, 0.389, 0.424, 0.697, 19
Head-drop, 0.289, 0.846, 0.431, 0.815, 19
Jump, 0.9, 0.429, 0.581, 0.925, 8
Passive, 0.227, 0.833, 0.357, 0.681, 21
Retreat, 0.214, 0.188, 0.2, 0.783, 17
Rhythmicity, 0.609, 0.737, 0.667, 0.641, 20
Rotation, 0.909, 0.526, 0.667, 0.635, 7
Sink, 0.237, 0.75, 0.36, 0.659, 16
Spread, 0.786, 0.55, 0.647, 0.865, 13
Strong, 0.273, 0.923, 0.421, 0.543, 15
Sudden, 0.181, 1.0, 0.306, 0.593, 13
Twist+Back, 1.0, 0.25, 0.4, 0.959, 10
Up+Rise, 0.833, 0.435, 0.571, 0.72, 12
