Quality, Feature Name, Operator, Information Gain
Advance, Position of KneeLeft_Z velocity , mean, 0.2
ArmsToUpperBody, WristRight angle  , skew, 0.2
Bind, Position of SpineBase_Z , mean, 0.2
Condense+Enclose, ElbowRight angle after LPF  , max abs, 0.26
Direct, Position of Head_Z , mean abs, 0.15
Free+Light, ElbowLeft angle after LPF  , min abs, 0.24
Head-drop, Position of FootLeft_Xafter LPF  , min, 0.21
Jump, Position of SpineBase_Y , max, 0.45
Passive, Position of ElbowLeft_Y velocity , mean square, 0.15
Retreat, Jump , mean abs, 0.2
Rhythmicity, Position of SpineBase_Y velocity , mean, 0.2
Rotation, Position of ShoulderRight_Z velocity , mean abs, 0.28
Sink, Position of KneeRight_Yafter LPF  , max, 0.22
Spread, Position of HandTipLeft_Xafter LPF  , min, 0.34
Strong, Position of SpineShoulder_Z , mean, 0.18
Sudden, Position of SpineShoulder_Zafter LPF  , mean abs, 0.2
Twist+Back, Position of SpineBase_Zafter LPF  , max, 0.37
Up+Rise, Position of ElbowLeft_Y , max, 0.3
