Algorithm,CMA1,CMA1,CMA1,CMA2,CMA2,CMA2,CMA3,CMA3,CMA3,CMA4,CMA4,CMA4,Average,Average,Average,
Metric,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,F1 SD
Chance,0.16,0.50,0.24,0.15,0.50,0.23,0.15,0.50,0.23,0.15,0.50,0.23,0.15,0.50,0.23,0.01
NearestNeighbors,0.48,0.27,0.33,0.28,0.23,0.25,0.23,0.24,0.23,0.22,0.21,0.21,0.30,0.24,0.26,0.05
LinearSVC (LS),0.36,0.42,0.39,0.39,0.43,0.41,0.37,0.40,0.38,0.29,0.33,0.31,0.35,0.39,0.37,0.04
LS+Label Balancing (LB),0.38,0.42,0.39,0.38,0.45,0.41,0.46,0.51,0.48,0.34,0.30,0.37,0.39,0.42,0.41,0.05
LS+LB+LogLoss (LL),0.42,0.40,0.41,0.39,0.45,0.42,0.45,0.52,0.48,0.35,0.42,0.38,0.40,0.43,0.43,0.04
LS+LB+LL+Lasso,0.43,0.50,0.46,0.38,0.46,0.42,0.46,0.55,0.50,0.35,0.42,0.38,0.41,0.48,0.44,0.05
LS+LB+LL+Lasso+Filter Feature Selection (FFS),0.52,0.69,0.59,0.37,0.44,0.42,0.49,0.51,0.50,0.38,0.41,0.39,0.44,0.51,0.48,0.09
LS+LB+LL+Lasso+FFS+Wrapper Feature Selection,0.54,0.72,0.61,0.49,0.63,0.55,0.52,0.58,0.55,0.37,0.44,0.40,0.48,0.59,0.53,0.09
